LSOA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E01000006,22.4558,5,34.1054,0.0
E01000010,32.286,6a,42.9356,8.46497
E01000017,8.20281,2,13.5186,5.0841
E01000027,3.85844,1b,6.79676,0.0
E01000028,3.01489,1b,4.71175,0.0
E01000029,2.5171,1b,5.82126,0.0
E01000031,4.07693,1b,8.02453,0.0
E01000032,6.6856,2,16.512,0.0
E01000038,8.36135,2,11.3669,2.61415
E01000044,8.7118,2,33.6359,2.85249
E01000058,7.25869,2,9.74211,2.40983
E01000063,7.42822,2,9.76543,5.41955
E01000073,3.68102,1b,6.55727,0.0
E01000077,7.48654,2,9.6741,4.18383
E01000080,5.88791,2,7.88025,2.45281
E01000085,13.5581,3,16.8137,11.5025
E01000098,11.0563,3,15.4719,7.58258
E01000103,3.04832,1b,11.4186,0.0
E01000120,7.20748,2,12.7748,4.53662
E01000124,12.9099,3,24.9525,0.0
E01000132,10.0333,3,13.3313,4.92915
E01000134,11.0418,3,15.2124,4.4425
E01000136,11.6318,3,34.1364,0.0
E01000139,10.1868,3,16.0694,2.65375
E01000140,14.5111,3,20.4991,10.118
E01000145,12.0305,3,27.6072,3.48371
E01000147,4.9307,1b,6.8558,2.02262
E01000158,6.74756,2,12.7452,2.58618
E01000161,9.4314,2,12.9108,2.81934
E01000162,10.2149,3,13.7658,7.53721
E01000163,3.79625,1b,8.22625,0.0
E01000164,7.30712,2,13.2732,0.0
E01000169,6.72274,2,12.0197,1.85038
E01000183,2.92704,1b,11.0873,0.0
E01000193,20.0665,5,43.3869,2.65032
E01000197,9.2003,2,20.8008,3.44856
E01000206,2.80062,1b,13.9622,0.0
E01000207,3.89728,1b,5.6874,2.46602
E01000212,7.74902,2,26.5206,2.287
E01000216,8.80247,2,15.8143,4.85505
E01000217,6.08947,2,9.20555,1.73751
E01000220,13.651,3,18.4633,8.48542
E01000222,6.68951,2,11.434,4.46945
E01000223,8.4522,2,14.5112,0.0
E01000224,9.28636,2,13.3766,6.17118
E01000234,11.8742,3,17.5751,4.6036
E01000239,5.80517,2,16.5758,0.0
E01000241,2.21401,1a,6.98464,0.0
E01000242,4.83334,1b,7.19822,2.33204
E01000261,2.93094,1b,4.82154,0.0
E01000266,4.41078,1b,7.9171,1.29152
E01000269,10.0329,3,16.2602,5.73013
E01000270,10.4929,3,14.0076,7.71645
E01000280,4.76207,1b,17.2137,0.0
E01000287,4.13223,1b,5.76196,2.67202
E01000288,8.34093,2,24.5539,0.0
E01000292,8.10976,2,16.3083,3.0462
E01000295,14.5725,3,24.377,5.48733
E01000298,12.4266,3,19.8811,3.49604
E01000304,8.91359,2,16.2483,3.11975
E01000316,5.17573,2,11.7524,3.26843
E01000324,6.64776,2,10.9895,1.2709
E01000333,4.65451,1b,7.4971,1.95343
E01000344,4.49253,1b,6.27289,2.40418
